,Episode,Episode Total Reward,Q1 Loss,Q2 Loss,Actor Loss,action_step0,action_step1,action_step2,action_step3,action_step4,action_step5,action_step6,action_step7,action_step8,action_step9,action_step10,action_step11,action_step12,action_step13,action_step14,action_step15,action_step16,action_step17,action_step18,action_step19,action_step20,action_step21,action_step22,action_step23,action_step24,action_step25,action_step26,action_step27,action_step28,action_step29,action_step30,action_step31,action_step32,action_step33,action_step34,action_step35,action_step36,action_step37,action_step38,action_step39,action_step40,action_step41,action_step42,action_step43,action_step44,action_step45,action_step46,action_step47,action_step48,action_step49,action_step50,action_step51,action_step52,action_step53,action_step54,action_step55,action_step56,action_step57,action_step58
39,4000,407.06231198506373,"tensor(2733.3954, grad_fn=<MseLossBackward0>)","tensor(34860414.0861, grad_fn=<MseLossBackward0>)",100.43826349285119,5.06,26.31,26.83,29.91,29.27,1.46,29.75,29.63,0.34,6.05,1.35,1.56,1.9,29.02,30.56,30.6,28.74,31.18,30.91,30.92,28.86,28.36,26.34,29.99,26.77,0.43,0.47,0.41,0.24,1.93,1.55,24.16,23.0,21.56,30.5,17.83,27.86,1.58,0.25,0.41,0.26,0.8,7.93,13.62,13.45,5.79,0.26,7.49,3.41,13.66,14.34,14.73,14.58,14.38,14.26,14.03,13.64,0.01,2.92
40,4100,425.3679817818376,"tensor(2674.5706, grad_fn=<MseLossBackward0>)","tensor(10088302.9599, grad_fn=<MseLossBackward0>)",86.69366560955605,4.55,29.93,30.59,34.91,34.6,5.31,34.56,34.92,0.36,1.04,1.13,1.53,2.05,32.84,36.09,36.11,21.83,36.08,31.02,36.1,21.52,33.84,17.94,36.07,34.46,0.37,0.34,0.35,0.21,1.99,1.59,24.25,18.65,21.35,35.57,0.45,34.06,28.05,0.98,0.36,0.22,0.46,5.38,10.11,7.67,1.11,0.21,5.15,1.22,10.29,10.54,10.73,10.68,10.65,10.55,10.58,10.68,0.0,0.04
41,4200,441.330339655154,"tensor(2768.4912, grad_fn=<MseLossBackward0>)","tensor(29912088.2574, grad_fn=<MseLossBackward0>)",89.08414398775669,5.3,30.12,31.95,37.25,37.15,20.14,36.76,37.54,0.36,1.14,1.26,1.6,1.99,34.52,35.17,35.21,22.04,36.26,29.11,36.39,20.96,32.35,18.92,35.82,36.22,0.29,0.24,0.28,0.16,1.87,1.56,28.78,15.6,23.92,35.96,0.48,35.98,15.22,0.28,0.27,0.17,0.32,4.58,7.95,4.97,0.51,0.16,4.43,0.8,8.22,8.7,9.57,9.58,9.58,9.62,9.78,10.11,0.0,0.04
42,4300,439.3001379543581,"tensor(4016.2096, grad_fn=<MseLossBackward0>)","tensor(19451286.5691, grad_fn=<MseLossBackward0>)",84.80590427641091,4.64,40.59,44.68,37.9,44.68,43.71,24.76,44.68,0.45,1.28,1.4,1.83,2.4,44.68,27.2,44.68,18.64,42.16,25.44,43.15,18.46,38.37,17.65,40.34,40.65,0.75,0.24,0.25,0.14,2.2,2.05,33.07,15.18,27.38,31.5,16.36,28.83,7.37,0.23,0.25,0.15,0.38,6.04,11.18,8.85,1.52,0.14,5.84,1.56,11.58,14.76,13.84,13.76,13.52,13.37,13.2,13.1,0.0,0.04
43,4400,575.5298219794598,"tensor(2813.2126, grad_fn=<MseLossBackward0>)","tensor(16450405.9428, grad_fn=<MseLossBackward0>)",88.67803003779474,4.71,42.94,49.42,49.43,10.32,1.8,49.42,34.45,0.36,1.23,1.35,1.78,2.0,49.42,36.75,49.43,22.37,49.42,30.34,49.42,12.95,49.42,1.41,49.42,32.56,0.21,0.21,0.23,0.13,1.89,1.68,31.69,16.29,42.24,0.02,43.38,0.01,0.38,0.2,0.22,0.13,0.32,5.73,10.37,7.82,1.06,0.12,5.55,1.29,10.65,13.38,13.79,13.31,12.62,12.42,12.15,11.77,0.0,0.03
44,4500,592.4876592358569,"tensor(2968.5652, grad_fn=<MseLossBackward0>)","tensor(17487004.1169, grad_fn=<MseLossBackward0>)",88.80907744147001,1.15,8.42,0.74,1.79,0.68,1.71,53.53,39.43,0.38,1.2,1.33,0.67,1.96,53.53,21.19,53.53,16.5,74.97,0.01,1.84,53.53,2.22,53.53,0.5,1.65,0.14,0.18,0.2,0.1,1.9,1.67,11.07,52.68,0.01,1.69,53.44,0.01,0.35,0.18,0.18,0.11,0.27,5.78,10.29,7.86,0.98,0.1,5.6,1.22,10.49,13.26,14.28,13.59,12.84,12.72,12.44,12.04,0.0,0.05
45,4600,774.3201638511595,"tensor(2240.1249, grad_fn=<MseLossBackward0>)","tensor(30869474.4111, grad_fn=<MseLossBackward0>)",85.58023236891933,6.42,62.62,47.32,61.74,34.84,9.15,62.62,25.96,0.27,1.28,1.43,1.89,2.27,62.62,20.34,62.62,10.19,62.62,9.15,62.62,1.1,62.62,0.36,62.62,0.07,0.12,0.16,0.18,0.09,2.13,1.87,24.88,25.04,21.28,62.62,0.01,62.62,80.75,99.96,99.99,99.99,99.94,68.84,11.66,9.79,1.62,0.09,6.01,1.35,11.67,15.32,16.17,15.28,14.28,14.31,13.97,13.68,0.02,1.01
46,4700,1112.0109119761978,"tensor(2971.7975, grad_fn=<MseLossBackward0>)","tensor(25936009.9390, grad_fn=<MseLossBackward0>)",92.20403730127768,4.45,81.75,44.85,97.21,0.2,1.8,96.89,0.1,0.18,1.22,1.37,1.98,2.19,96.54,0.04,3.8,97.06,0.03,10.51,94.38,0.03,96.7,0.03,95.79,0.01,0.11,0.15,0.17,0.08,2.04,51.42,0.16,97.08,0.01,2.07,93.6,0.01,0.31,0.15,0.15,0.09,0.23,6.17,11.22,9.35,1.36,0.08,5.98,1.28,11.34,14.12,15.97,14.74,13.76,13.76,13.45,13.08,0.03,0.91
47,4800,635.4899928225814,"tensor(3102.7400, grad_fn=<MseLossBackward0>)","tensor(28612369.2824, grad_fn=<MseLossBackward0>)",90.26984906371854,4.48,93.88,3.98,49.56,98.15,0.7,98.05,0.64,0.17,1.33,1.52,2.15,2.2,97.99,0.2,3.87,98.1,0.17,17.8,98.05,0.12,98.02,0.13,97.82,0.04,0.11,0.14,0.17,0.07,2.03,2.14,89.47,0.06,98.12,0.05,95.82,0.04,0.31,0.14,0.15,0.08,0.24,7.29,13.25,12.68,4.37,0.08,7.05,2.15,13.34,16.89,15.43,15.16,13.64,13.82,13.4,12.87,0.17,4.56
48,4900,876.9089400885254,"tensor(3005.4673, grad_fn=<MseLossBackward0>)","tensor(33123557.8766, grad_fn=<MseLossBackward0>)",87.7435341267325,4.22,5.72,1.97,5.27,2.97,1.76,98.38,0.74,0.14,1.18,1.32,2.26,1.99,98.36,0.59,4.11,98.39,0.58,5.33,5.74,98.38,0.57,98.39,0.52,1.73,0.1,0.13,0.15,0.06,1.88,2.19,5.62,98.39,0.44,2.17,32.58,1.96,0.3,0.12,0.14,0.07,0.23,6.88,12.45,11.55,3.12,0.07,6.65,1.88,12.56,15.57,14.98,17.06,12.59,13.58,12.83,12.49,0.58,1.11
